ringno_season,yday,yday200,pfmg,sex
CV67954_2015-2016,94,259,0.9421250000000001,unknown
CV68315_2017-2018,364,164,0.098,unknown
CV56935_2010-2011,29,194,0.7673749999999999,unknown
CV53515_2009-2010,330,130,0.9128750000000001,unknown
CV68077_2016-2017,352,152,0.518875,unknown
CC46224_2019-2020,345,145,0,unknown
CV56678_2019-2020,345,145,0.334375,unknown
CV43354_2007-2008,101,266,0.8785000000000001,unknown
CV58509_2012-2013,222,22,1,unknown
CV58496_2013-2014,244,44,1,unknown
CV69806_2018-2019,54,219,0.8951250000000001,unknown
CC46262_2019-2020,346,146,0.40287500000000004,unknown
CV56676_2019-2020,344,144,0.12912500000000002,unknown
CV43358_2007-2008,101,266,0.9845,unknown
CC46211_2019-2020,345,145,0.374375,unknown
CV09305_2009-2010,330,130,1,unknown
CV46621_2008-2009,262,62,1,unknown
CV58354_2011-2012,14,179,1,unknown
CA49860_2021-2022,355,155,0.815,unknown
CV42939_2007-2008,342,142,0.374375,unknown
CV56838_2010-2011,355,155,0,unknown
CV68313_2017-2018,364,164,0.459625,unknown
CV69880_2018-2019,64,229,1,unknown
CC46219_2019-2020,345,145,0.19824999999999998,unknown
CV69800_2018-2019,54,219,0.6728750000000001,unknown
CV09257_2009-2010,210,10,1,unknown
CV56166_2009-2010,145,310,1,unknown
CV46836_2008-2009,23,188,0.042625,unknown
CV69811_2018-2019,55,220,0.8625,unknown
CC46223_2019-2020,345,145,0,unknown
CV11236_2011-2012,330,130,1,unknown
CV67944_2015-2016,72,237,0.7353750000000001,unknown
CC46267_2019-2020,346,146,0.40287500000000004,unknown
CV68070_2016-2017,338,138,0.41575,unknown
CV58656_2013-2014,342,142,0,unknown
CV68353_2017-2018,62,227,0.47275,unknown
CV42940_2007-2008,342,142,0.24650000000000002,unknown
CC48191_2001-2002,311,111,1,unknown
CC52702_2001-2002,311,111,0,unknown
CV68090_2016-2017,14,179,0.656875,unknown
CV43204_2007-2008,53,218,0.6415000000000001,unknown
CV56914_2010-2011,29,194,0.40287500000000004,unknown
CV58612_2013-2014,267,67,1,unknown
CV58351_2011-2012,14,179,0.261125,unknown
CV69801_2018-2019,54,219,1,unknown
CV58356_2011-2012,14,179,0.36012500000000003,unknown
CV56513_2010-2011,267,67,1,unknown
CV69733_2018-2019,359,159,0.815,unknown
CV56840_2010-2011,355,155,0,unknown
CV56192_2009-2010,145,310,1,unknown
CV69797_2018-2019,53,218,1,unknown
CV67958_2015-2016,107,272,1,unknown
CC52720_2001-2002,19,184,0,unknown
CV69876_2018-2019,64,229,0.488125,unknown
CC46141_2019-2020,341,141,0.32225000000000004,unknown
CV43377_2007-2008,109,274,1,unknown
CC46226_2019-2020,345,145,0.12912500000000002,unknown
CV67973_2015-2016,170,335,0,unknown
CV67952_2015-2016,94,259,1,unknown
CV56938_2010-2011,29,194,0.9845,unknown
CV68169_2016-2017,119,284,1,unknown
CV56657_2019-2020,341,141,0.085875,unknown
CC46114_2019-2020,339,139,0,unknown
CV56939_2010-2011,29,194,0.815,unknown
CV58778_2014-2015,38,203,0.40287500000000004,unknown
CV43393_2007-2008,121,286,1,unknown
CV46847_2008-2009,23,188,0,unknown
CV46809_2008-2009,7,172,0.042625,unknown
BE66603_2011-2012,112,277,0.8785000000000001,unknown
CV56529_2010-2011,271,71,1,unknown
CV68062_2016-2017,317,117,0.9128750000000001,unknown
CC09271_2019-2020,338,138,1,unknown
CV27629_2003-2004,324,124,1,unknown
CV67940_2015-2016,72,237,0.8935000000000001,unknown
CV56851_2010-2011,355,155,0.24650000000000002,unknown
CV67959_2015-2016,107,272,1,unknown
CV56034_2009-2010,84,249,0.36012500000000003,unknown
CC15927_2003-2004,277,77,1,unknown
CC03579_2019-2020,344,144,0.11737500000000001,unknown
CV68329_2017-2018,13,178,0.34862499999999996,unknown
CV43342_2007-2008,100,265,1,unknown
CC15756_2018-2019,109,274,1,unknown
CC03572_2019-2020,344,144,0.161875,unknown
CV43371_2007-2008,103,268,0.9535000000000001,unknown
CV68187_2016-2017,140,305,1,unknown
CV56474_2010-2011,242,42,1,unknown
CV43295_2007-2008,93,258,0.951875,unknown
CC46204_2019-2020,344,144,0.19824999999999998,unknown
CV53894_2009-2010,364,164,0.6102500000000001,unknown
CV68179_2016-2017,140,305,1,unknown
BC76179_2011-2012,21,186,0.235375,unknown
CV56814_2010-2011,343,143,1,unknown
CV58750_2014-2015,291,91,1,unknown
